Product Name,Price,Link,Image,Ratings
God of Gotham Mouse Pad,₹499,https://ajio.com/macmerise-god-of-gotham-mouse-pad/p/4924104700_multi,https://assets.ajio.com/medias/sys_master/root/20240603/EtPa/665dc5fc05ac7d77bb985812/macmerise__god_of_gotham_mouse_pad.jpg,No ratings
Peter Mouse Pad,₹299,https://ajio.com/macmerise-peter-mouse-pad/p/4929079170_multi,https://assets.ajio.com/medias/sys_master/root/20240603/Wvk0/665dd66116fd2c6e6a477a25/macmerise__peter_mouse_pad.jpg,No ratings
Spidey Mouse Pad,₹299,https://ajio.com/macmerise-spidey-mouse-pad/p/4929079210_multi,https://assets.ajio.com/medias/sys_master/root/20240603/J1rh/665dce6816fd2c6e6a474abb/macmerise__spidey_mouse_pad.jpg,No ratings
Clown Prince Mouse Pad,₹299,https://ajio.com/macmerise-clown-prince-mouse-pad/p/4924104670_multi,https://assets.ajio.com/medias/sys_master/root/20240603/vV2f/665ddd6305ac7d77bb98ca36/macmerise__clown_prince_mouse_pad.jpg,No ratings
Joker Quotes Mouse Pad,₹299,https://ajio.com/macmerise-joker-quotes-mouse-pad/p/4924104710_multi,https://assets.ajio.com/medias/sys_master/root/20240603/Uv2N/665dda9d05ac7d77bb98bd10/macmerise__joker_quotes_mouse_pad.jpg,No ratings
