Product Name,Price,Link,Image,Ratings,Product Reviews Link
"Logitech MK235 Full-Sized, 15 FN Keys, 3-Year Battery Life Combo Mouse and Wireless Laptop Keyboard  (Black & Gray)","₹1,295",https://www.flipkart.com/logitech-mk235-full-sized-15-fn-keys-3-year-battery-life-combo-mouse-wireless-laptop-keyboard/p/itmf8bf72d5f388d,https://rukminim2.flixcart.com/image/416/416/kb1470w0/keyboard/laptop-keyboard/b/s/d/logitech-mk235-mouse-original-imafsgt7zf6czzjc.jpeg?q=70&crop=false,4.2,https://www.flipkart.com/logitech-mk235-full-sized-15-fn-keys-3-year-battery-life-combo-mouse-wireless-laptop-keyboard/product-reviews/itmf8bf72d5f388d
"DELL KM3322W Keyboard & Mouse Combo, Anti-fade & Spill-resistant Keys Wireless Multi-device Keyboard  (Black)","₹1,269",https://www.flipkart.com/dell-km3322w-keyboard-mouse-combo-anti-fade-spill-resistant-keys-wireless-multi-device/p/itmb4f7371aa5ec3,https://rukminim2.flixcart.com/image/416/416/kzzw5u80/keyboard/multi-device-keyboard/o/2/d/km3322w-km3322w-keyboard-mouse-combo-anti-fade-spill-resistant-original-imagbvyatqteauf2.jpeg?q=70&crop=false,4.2,https://www.flipkart.com/dell-km3322w-keyboard-mouse-combo-anti-fade-spill-resistant-keys-wireless-multi-device/product-reviews/itmb4f7371aa5ec3
"Portronics Key7 Combo Keyboard Mouse Combo Set with 2.4Ghz, 1200 DPI Wireless Laptop Keyboard  (Black)",₹899,https://www.flipkart.com/portronics-key7-combo-keyboard-mouse-set-2-4ghz-1200-dpi-wireless-laptop/p/itmd19f09775a91e,https://rukminim2.flixcart.com/image/416/416/xif0q/keyboard/laptop-keyboard/v/m/p/key7-combo-keyboard-mouse-combo-set-with-2-4ghz-1200-dpi-original-imagvsfdydjuj9mp.jpeg?q=70&crop=false,4.1,https://www.flipkart.com/portronics-key7-combo-keyboard-mouse-set-2-4ghz-1200-dpi-wireless-laptop/product-reviews/itmd19f09775a91e
"Portronics Bubble Dock with Tablet/Smartphone holder 12 inch wide & On/Off switch,Compact Tenkeyless Bluetooth, Wireless Multi-device Keyboard  (Black)","₹1,299",https://www.flipkart.com/portronics-bubble-dock-tablet-smartphone-holder-12-inch-wide-on-off-switch-compact-tenkeyless-bluetooth-wireless-multi-device-keyboard/p/itm92518c84696fa,https://rukminim2.flixcart.com/image/416/416/xif0q/keyboard/laptop-keyboard/m/c/1/bubble-dock-wireless-bluetooth-2-4-ghz-tablet-smartphone-holder-original-imahfqxn8awhpk2z.jpeg?q=70&crop=false,4.2,https://www.flipkart.com/portronics-bubble-dock-tablet-smartphone-holder-12-inch-wide-on-off-switch-compact-tenkeyless-bluetooth-wireless-multi-device-keyboard/product-reviews/itm92518c84696fa
ASTRUM KW280 Slim Wireless Keyboard with Touchpad (Black) Wireless Multi-device Keyboard  (Black),"₹2,199",https://www.flipkart.com/astrum-kw280-slim-wireless-keyboard-touchpad-black-multi-device/p/itm62adb306fc7cd,https://rukminim2.flixcart.com/image/416/416/xif0q/keyboard/multi-device-keyboard/d/r/b/kw280-slim-wireless-keyboard-with-touchpad-black-astrum-original-imah5udfntgxgrbw.jpeg?q=70&crop=false,4,https://www.flipkart.com/astrum-kw280-slim-wireless-keyboard-touchpad-black-multi-device/product-reviews/itm62adb306fc7cd
