Product Name,Price,Link,Image,Ratings
JBLWBEAMBEG True Wireless Earbuds,"₹2,999",https://ajio.com/jbl-jblwbeambeg-true-wireless-earbuds/p/4936669290_multi,https://assets.ajio.com/medias/sys_master/root/20230301/JENb/63ff64cff997dde6f4d49e69/jbl_beige_jblwbeambeg_true_wireless_earbuds.jpg,3.5
JBLWBEAMWHT True Wireless Earbuds,"₹2,999",https://ajio.com/jbl-jblwbeamwht-true-wireless-earbuds/p/4936669320_multi,https://assets.ajio.com/medias/sys_master/root/20230302/gZ2t/63ffae7bf997dde6f4d65f86/jbl_white_jblwbeamwht_true_wireless_earbuds.jpg,3.8
JBLWBUDSBLK True Wireless Earbuds,"₹2,999",https://ajio.com/jbl-jblwbudsblk-true-wireless-earbuds/p/4936669260_multi,https://assets.ajio.com/medias/sys_master/root/20230301/HNdW/63ff8e84aeb26924e39cf263/jbl_black_jblwbudsblk_true_wireless_earbuds.jpg,3.2
JBLWBEAMBLK True Wireless Earbuds,"₹2,999",https://ajio.com/jbl-jblwbeamblk-true-wireless-earbuds/p/4936669310_multi,https://assets.ajio.com/medias/sys_master/root/20230301/hsGo/63ff8a50aeb26924e39cd856/jbl_black_jblwbeamblk_true_wireless_earbuds.jpg,3.6
Airdopes 141 Truly Wireless Earpods,"₹1,299",https://ajio.com/boat-airdopes-141-truly-wireless-earpods/p/4931792960_multi,https://assets.ajio.com/medias/sys_master/root/20221104/GYgJ/63653d26aeb269659c73399f/boat_bold_black_airdopes_141_truly_wireless_earpods.jpg,3.8
