Product Name,Price,Link,Image,Ratings,Product Reviews Link
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Latency Gaming, Made in India, 5.3v Bluetooth  (White Opal, True Wireless)","₹1,499",https://www.flipkart.com/boult-astra-quad-mic-enc-48hrs-battery-low-latency-gaming-made-india-5-3v-bluetooth/p/itmd2008f28b12bd,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/h/g/r/-original-imah2pguxst5hacc.jpeg?q=70&crop=false,4.1,https://www.flipkart.com/boult-astra-quad-mic-enc-48hrs-battery-low-latency-gaming-made-india-5-3v-bluetooth/product-reviews/itmd2008f28b12bd
"realme Buds T110 (RMA2306) with AI ENC for calls, 38 hours of Playback and Deep Bass Bluetooth  (Punk Black, True Wireless)","₹1,299",https://www.flipkart.com/realme-buds-t110-rma2306-ai-enc-calls-38-hours-playback-deep-bass-bluetooth/p/itmce01e92c87ca7,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/f/y/f/-original-imahy3uqgtzmdsge.jpeg?q=70&crop=false,4.2,https://www.flipkart.com/realme-buds-t110-rma2306-ai-enc-calls-38-hours-playback-deep-bass-bluetooth/product-reviews/itmce01e92c87ca7
"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth  (Deep Grey, True Wireless)","₹1,699",https://www.flipkart.com/oneplus-nord-buds-2r-ear-earbuds-dual-mic-ai-crystal-clear-call-bluetooth/p/itm2560f6f9b1d5b,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/w/t/q/-original-imagr4t8zuq2wzhe.jpeg?q=70&crop=false,4.3,https://www.flipkart.com/oneplus-nord-buds-2r-ear-earbuds-dual-mic-ai-crystal-clear-call-bluetooth/product-reviews/itm2560f6f9b1d5b
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Playback,Multi Point Connectivity Bluetooth  (Classic Black, True Wireless)","₹1,299",https://www.flipkart.com/boat-airdopes-supreme-w-4-mics-ai-enx-tech-50-hrs-playback-multi-point-connectivity-bluetooth/p/itm47a93966ad11e,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/v/f/m/-original-imagz5z4cknamu9d.jpeg?q=70&crop=false,4.1,https://www.flipkart.com/boat-airdopes-supreme-w-4-mics-ai-enx-tech-50-hrs-playback-multi-point-connectivity-bluetooth/product-reviews/itm47a93966ad11e
"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mic, Chrome finish Flybird Design Bluetooth  (Forest Green, True Wireless)",₹999,https://www.flipkart.com/noise-buds-vs102-elite-50hr-playtime-enc-quad-mic-chrome-finish-flybird-design-bluetooth/p/itm49829bb9c719b,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/j/x/g/-original-imah2hwdmpsubewu.jpeg?q=70&crop=false,4,https://www.flipkart.com/noise-buds-vs102-elite-50hr-playtime-enc-quad-mic-chrome-finish-flybird-design-bluetooth/product-reviews/itm49829bb9c719b
