Product Name,Price,Link,Image,Ratings,Product Reviews Link
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Latency Gaming, Made in India, 5.3v Bluetooth  (Glacier Blue, True Wireless)","₹1,099",https://www.flipkart.com/boult-w20-zen-enc-mic-35h-battery-life-low-latency-gaming-made-india-5-3v-bluetooth/p/itm42ba3da4c8d78,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/m/x/o/-original-imagt5cwzxknqpbu.jpeg?q=70&crop=false,4.1,https://www.flipkart.com/boult-w20-zen-enc-mic-35h-battery-life-low-latency-gaming-made-india-5-3v-bluetooth/product-reviews/itm42ba3da4c8d78
"OPPO Enco Buds 2 with 28 hours Battery life & Deep Noise Cancellation Bluetooth  (Midnight, True Wireless)","₹1,399",https://www.flipkart.com/oppo-enco-buds-2-28-hours-battery-life-deep-noise-cancellation-bluetooth/p/itm3344fa26518ed,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/p/r/z/enco-buds-2-oppo-original-imagh9frfp7gxdb3.jpeg?q=70&crop=false,4.3,https://www.flipkart.com/oppo-enco-buds-2-28-hours-battery-life-deep-noise-cancellation-bluetooth/product-reviews/itm3344fa26518ed
"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth  (Deep Grey, True Wireless)","₹1,699",https://www.flipkart.com/oneplus-nord-buds-2r-ear-earbuds-dual-mic-ai-crystal-clear-call-bluetooth/p/itm2560f6f9b1d5b,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/w/t/q/-original-imagr4t8zuq2wzhe.jpeg?q=70&crop=false,4.3,https://www.flipkart.com/oneplus-nord-buds-2r-ear-earbuds-dual-mic-ai-crystal-clear-call-bluetooth/product-reviews/itm2560f6f9b1d5b
"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spatial Audio and 40 hours Playback Bluetooth  (Stylish Black, True Wireless)","₹1,799",https://www.flipkart.com/realme-buds-t300-12-4mm-driver-30db-anc-360-spatial-audio-40-hours-playback-bluetooth/p/itm340c420d1734a,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/v/y/o/-original-imagt3vwuweuwk9v.jpeg?q=70&crop=false,4.3,https://www.flipkart.com/realme-buds-t300-12-4mm-driver-30db-anc-360-spatial-audio-40-hours-playback-bluetooth/product-reviews/itm340c420d1734a
"Number Super Buds Pro GT9 Helmet MEMS ENC Gaming TWS, 48 Hrs Battery, 40ms Low Latency Bluetooth  (Commando Black, True Wireless)",₹999,https://www.flipkart.com/number-super-buds-pro-gt9-helmet-mems-enc-gaming-tws-48-hrs-battery-40ms-low-latency-bluetooth/p/itm908711a211b27,https://rukminim2.flixcart.com/image/416/416/xif0q/headphone/h/o/y/super-buds-pro-gt9-number-original-imagz4uwvxn55vsj.jpeg?q=70&crop=false,3.9,https://www.flipkart.com/number-super-buds-pro-gt9-helmet-mems-enc-gaming-tws-48-hrs-battery-40ms-low-latency-bluetooth/product-reviews/itm908711a211b27
