Product Name,Price,Link,Image,Ratings
Blue Dial Analogue Fashion Watch For Men,"₹1,450",https://ajio.com/uniquest-blue-dial-analogue-fashion-watch-for-men/p/469456987_blue,https://assets.ajio.com/medias/sys_master/root/20231117/xh2M/65577d3eafa4cf41f59030a3/uniquest_camel_brown_blue_dial_analogue_fashion_watch_for_men.jpg,3.4
Black Dial Analogue Fashion Watch with Leather Strap For Men,"₹3,119",https://ajio.com/uniquest-black-dial-analogue-fashion-watch-with-leather-strap-for-men/p/469457011_black,https://assets.ajio.com/medias/sys_master/root/20231117/TJUt/65577f27afa4cf41f5903b75/uniquest_black_black_dial_analogue_fashion_watch_with_leather_strap_for_men.jpg,5
Blue Dial Analogue Fashion Watch For Men,"₹2,399",https://ajio.com/uniquest-blue-dial-analogue-fashion-watch-for-men/p/469456988_blue,https://assets.ajio.com/medias/sys_master/root/20231117/i4Yi/6557797eddf77915198bcf18/uniquest_blue_blue_dial_analogue_fashion_watch_for_men.jpg,3.5
Brown Dial Analogue Fashion Watch with Leather Strap For Men,"₹2,879",https://ajio.com/uniquest-brown-dial-analogue-fashion-watch-with-leather-strap-for-men/p/469456979_brown,https://assets.ajio.com/medias/sys_master/root/20231107/7dzn/654a2473ddf7791519752db8/uniquest_brown_brown_dial_analogue_fashion_watch_with_leather_strap_for_men.jpg,3.1
Green Dial Analogue Fashion Watch For Men,"₹2,399",https://ajio.com/uniquest-green-dial-analogue-fashion-watch-for-men/p/469456988_green,https://assets.ajio.com/medias/sys_master/root/20231117/1cGS/65577e96afa4cf41f59038ac/uniquest_green_green_dial_analogue_fashion_watch_for_men.jpg,3.5
